Fault_Type,Fault_Location,Severity_Level,Module_Age_Years,Rectification_Action,Previous_Rectification_Action,Irradiance,Weather_Condition,Timestamp,String_Num,Panel_Num,Repair_Cost,Downtime_Hours,Energy_Loss_Cost,Total_Cost
Hotspot,String-5_Panel-2,Critical,6,Replace Module,Replace Module,803,Rainy,2023-05-10 20:00:00,5,2,462.65,5.8,0.379,463.029
Hotspot,String-1_Panel-11,High,1,Replace Module,Replace Panel Section,653,Rainy,2023-05-10 21:00:00,1,11,536.98,5.74,0.264,537.244
Open Circuit,String-4_Panel-7,Critical,9,Replace Module,Replace Module,625,Cloudy,2023-05-10 21:00:00,4,7,537.86,7.22,0.375,538.235
Short Circuit,String-10_Panel-13,High,5,Replace Wiring,Replace Wiring,579,Sunny,2023-05-10 22:00:00,10,13,140.91,1.67,0.091,141.001
Hotspot,String-7_Panel-8,Low,8,Inspect Cells,Reinstall Module,805,Sunny,2023-05-10 22:00:00,7,8,75.44,0.94,0.041,75.481
Short Circuit,String-2_Panel-9,High,14,Replace Module,Replace Wiring,458,Cloudy,2023-05-10 23:00:00,2,9,564.68,5.63,0.365,565.045
Short Circuit,String-9_Panel-15,Critical,3,Replace Module,Replace Module,346,Rainy,2023-05-11 00:00:00,9,15,453.27,6.09,0.375,453.645
Hotspot,String-1_Panel-5,Medium,11,Inspect Cells,Inspect Cells,466,Cloudy,2023-05-11 01:00:00,1,5,82.11,1.27,0.056,82.166
Short Circuit,String-8_Panel-19,Medium,1,Replace Fuse,Replace Fuse,697,Sunny,2023-05-11 01:00:00,8,19,59.38,0.69,0.03,59.410000000000004
Open Circuit,String-4_Panel-1,Medium,6,Replace Connector,Inspect Cells,737,Sunny,2023-05-11 02:00:00,4,1,98.39,0.82,0.037,98.427
Shadowing,String-6_Panel-16,Medium,7,Remove Obstruction,Remove Obstruction,378,Cloudy,2023-05-11 03:00:00,6,16,44.61,0.52,0.023,44.633
Open Circuit,String-7_Panel-14,Low,6,Replace Wiring,Tighten Connection,568,Cloudy,2023-05-11 03:00:00,7,14,146.31,2.26,0.141,146.451
Short Circuit,String-10_Panel-18,Low,12,Inspect Junction Box,Inspect Junction Box,350,Sunny,2023-05-11 03:00:00,10,18,71.83,1.1,0.055,71.885
Hotspot,String-5_Panel-15,High,10,Replace Module,Replace Panel Section,994,Rainy,2023-05-11 04:00:00,5,15,488.87,6.04,0.377,489.247
Open Circuit,String-7_Panel-7,Medium,4,Replace Connector,Replace Connector,687,Sunny,2023-05-11 04:00:00,7,7,100.23,0.97,0.047,100.277
Shadowing,String-10_Panel-19,Medium,8,Remove Obstruction,Replace Connector,992,Rainy,2023-05-11 04:00:00,10,19,46.51,0.52,0.022,46.532
Open Circuit,String-9_Panel-1,High,7,Inspect Junction Box,Adjust Tilt,253,Cloudy,2023-05-11 04:00:00,9,1,68.47,0.99,0.058,68.528
Short Circuit,String-5_Panel-2,Critical,3,Replace Module,Clean Panel,407,Sunny,2023-05-11 05:00:00,5,2,496.55,5.44,0.354,496.904
Open Circuit,String-4_Panel-20,Medium,3,Replace Wiring,Replace Module,750,Rainy,2023-05-11 05:00:00,4,20,113.69,1.86,0.111,113.801
Short Circuit,String-7_Panel-4,High,3,Replace Wiring,Replace Connector,625,Cloudy,2023-05-11 05:00:00,7,4,147.08,2.29,0.099,147.179
Shadowing,String-3_Panel-13,Critical,12,Replace Module,Reinstall Module,498,Sunny,2023-05-11 08:00:00,3,13,496.67,5.96,0.321,496.99100000000004
Short Circuit,String-10_Panel-4,High,6,Replace Wiring,Adjust Tilt,465,Sunny,2023-05-11 09:00:00,10,4,145.17,2.02,0.099,145.26899999999998
Open Circuit,String-4_Panel-18,Low,13,Tighten Connection,Replace Fuse,412,Sunny,2023-05-11 10:00:00,4,18,38.63,0.44,0.027,38.657000000000004
Open Circuit,String-4_Panel-18,Critical,6,Replace Module,Replace Fuse,498,Rainy,2023-05-11 10:00:00,4,18,522.52,6.22,0.312,522.832
Hotspot,String-6_Panel-4,High,10,Replace Panel Section,Replace Panel Section,971,Rainy,2023-05-11 11:00:00,6,4,339.45,4.37,0.189,339.639
Hotspot,String-10_Panel-8,Critical,9,Replace Module,Remove Obstruction,406,Sunny,2023-05-11 11:00:00,10,8,532.48,6.46,0.404,532.884
Shadowing,String-10_Panel-17,High,14,Adjust Tilt,Replace Connector,747,Cloudy,2023-05-11 11:00:00,10,17,117.11,1.75,0.1,117.21
Short Circuit,String-3_Panel-3,High,12,Replace Module,Replace Wiring,315,Cloudy,2023-05-11 11:00:00,3,3,593.04,7.27,0.428,593.468
Short Circuit,String-10_Panel-3,High,10,Replace Wiring,Adjust Tilt,965,Sunny,2023-05-11 11:00:00,10,3,141.27,1.92,0.125,141.395
Short Circuit,String-4_Panel-16,Low,1,Inspect Junction Box,Adjust Tilt,355,Rainy,2023-05-11 11:00:00,4,16,62.79,0.76,0.046,62.836
Shadowing,String-9_Panel-8,High,10,Remove Obstruction,Replace Fuse,416,Rainy,2023-05-11 12:00:00,9,8,51.25,0.53,0.023,51.273
Shadowing,String-2_Panel-20,Medium,8,Remove Obstruction,Remove Obstruction,806,Sunny,2023-05-11 13:00:00,2,20,51.86,0.41,0.021,51.881
Open Circuit,String-1_Panel-19,Low,1,Tighten Connection,Tighten Connection,968,Rainy,2023-05-11 16:00:00,1,19,40.34,0.36,0.02,40.36000000000001
Open Circuit,String-9_Panel-3,Medium,1,Replace Connector,Replace Connector,203,Sunny,2023-05-11 18:00:00,9,3,87.38,0.96,0.053,87.43299999999999
Shadowing,String-8_Panel-2,High,2,Reinstall Module,Tighten Connection,514,Cloudy,2023-05-11 18:00:00,8,2,184.07,2.34,0.148,184.218
Shadowing,String-7_Panel-7,Medium,9,Clean Panel,Adjust Tilt,242,Cloudy,2023-05-11 21:00:00,7,7,29.28,0.25,0.011,29.291
Open Circuit,String-2_Panel-4,Critical,13,Replace Module,Reinstall Module,867,Rainy,2023-05-11 23:00:00,2,4,507.73,5.67,0.374,508.10400000000004
Short Circuit,String-2_Panel-19,Low,8,Inspect Junction Box,Inspect Junction Box,749,Sunny,2023-05-12 01:00:00,2,19,73.82,0.85,0.041,73.86099999999999
Open Circuit,String-3_Panel-7,High,5,Replace Wiring,Replace Panel Section,705,Sunny,2023-05-12 01:00:00,3,7,140.3,1.91,0.1,140.4
Hotspot,String-8_Panel-18,Critical,12,Replace Module,Replace Panel Section,994,Cloudy,2023-05-12 01:00:00,8,18,542.12,6.81,0.352,542.472
Hotspot,String-4_Panel-19,Medium,11,Inspect Cells,Replace Wiring,335,Rainy,2023-05-12 02:00:00,4,19,87.69,0.79,0.033,87.723
Hotspot,String-10_Panel-1,High,12,Replace Panel Section,Replace Panel Section,927,Cloudy,2023-05-12 03:00:00,10,1,314.24,4.59,0.201,314.44100000000003
Shadowing,String-1_Panel-5,Low,12,Remove Obstruction,Replace Connector,430,Cloudy,2023-05-12 04:00:00,1,5,51.06,0.51,0.029,51.089000000000006
Open Circuit,String-9_Panel-6,Medium,9,Inspect Junction Box,Replace Wiring,651,Sunny,2023-05-12 04:00:00,9,6,69.25,1.1,0.065,69.315
Hotspot,String-9_Panel-2,High,14,Replace Panel Section,Replace Panel Section,361,Sunny,2023-05-12 05:00:00,9,2,278.68,2.9,0.157,278.837
Short Circuit,String-9_Panel-15,Critical,11,Replace Module,Replace Module,983,Rainy,2023-05-12 07:00:00,9,15,502.61,6.49,0.398,503.00800000000004
Shadowing,String-5_Panel-8,Critical,10,Replace Module,Replace Wiring,619,Sunny,2023-05-12 07:00:00,5,8,491.82,5.59,0.292,492.11199999999997
Short Circuit,String-8_Panel-16,Critical,5,Replace Module,Replace Fuse,272,Cloudy,2023-05-12 08:00:00,8,16,580.06,7.22,0.424,580.4839999999999
Hotspot,String-1_Panel-10,Low,14,Clean Panel,Remove Obstruction,958,Rainy,2023-05-12 09:00:00,1,10,30.79,0.35,0.017,30.807
Open Circuit,String-2_Panel-17,Medium,14,Inspect Junction Box,Replace Wiring,322,Cloudy,2023-05-12 10:00:00,2,17,67.81,0.98,0.062,67.872
Open Circuit,String-8_Panel-18,High,3,Replace Wiring,Replace Wiring,697,Cloudy,2023-05-12 10:00:00,8,18,147.9,1.73,0.102,148.002
Shadowing,String-3_Panel-6,Medium,11,Remove Obstruction,Remove Obstruction,457,Cloudy,2023-05-12 12:00:00,3,6,52.17,0.59,0.038,52.208
Short Circuit,String-2_Panel-8,Critical,11,Replace Panel Section,Remove Obstruction,287,Sunny,2023-05-12 14:00:00,2,8,368.68,3.25,0.202,368.882
Shadowing,String-6_Panel-4,Low,6,Clean Panel,Clean Panel,406,Sunny,2023-05-12 17:00:00,6,4,28.51,0.35,0.016,28.526
Open Circuit,String-7_Panel-4,Medium,3,Replace Connector,Remove Obstruction,380,Sunny,2023-05-12 17:00:00,7,4,88.24,0.9,0.048,88.288
Open Circuit,String-7_Panel-12,High,11,Replace Wiring,Replace Module,502,Cloudy,2023-05-12 19:00:00,7,12,163.59,2.19,0.123,163.713
Short Circuit,String-1_Panel-12,Medium,2,Inspect Junction Box,Tighten Connection,326,Rainy,2023-05-12 19:00:00,1,12,72.22,0.68,0.034,72.254
Hotspot,String-8_Panel-12,Critical,7,Replace Module,Replace Module,721,Sunny,2023-05-12 19:00:00,8,12,539.34,5.73,0.25,539.59
Shadowing,String-2_Panel-18,Critical,4,Reinstall Module,Reinstall Module,590,Sunny,2023-05-12 21:00:00,2,18,182.35,3.34,0.194,182.54399999999998
Shadowing,String-1_Panel-2,Critical,6,Reinstall Module,Reinstall Module,325,Cloudy,2023-05-12 21:00:00,1,2,208.02,2.77,0.167,208.187
Open Circuit,String-2_Panel-18,High,4,Replace Wiring,Adjust Tilt,311,Sunny,2023-05-12 22:00:00,2,18,133.95,1.97,0.124,134.07399999999998
Hotspot,String-7_Panel-19,Low,6,Clean Panel,Remove Obstruction,295,Rainy,2023-05-12 23:00:00,7,19,26.24,0.29,0.014,26.253999999999998
Shadowing,String-10_Panel-12,Low,2,Remove Obstruction,Replace Connector,919,Cloudy,2023-05-13 00:00:00,10,12,42.8,0.43,0.022,42.821999999999996
Short Circuit,String-4_Panel-3,Medium,8,Replace Connector,Replace Wiring,563,Sunny,2023-05-13 00:00:00,4,3,102.74,1.02,0.06,102.8
Open Circuit,String-9_Panel-17,Low,1,Tighten Connection,Remove Obstruction,612,Sunny,2023-05-13 02:00:00,9,17,38.92,0.47,0.024,38.944
Open Circuit,String-3_Panel-11,Critical,6,Replace Module,Replace Module,953,Rainy,2023-05-13 02:00:00,3,11,492.62,6.52,0.288,492.908
Shadowing,String-1_Panel-4,Critical,7,Reinstall Module,Reinstall Module,431,Cloudy,2023-05-13 03:00:00,1,4,214.24,3.01,0.146,214.386
Hotspot,String-10_Panel-2,Medium,9,Inspect Cells,Inspect Cells,387,Rainy,2023-05-13 04:00:00,10,2,73.83,0.88,0.039,73.869
Shadowing,String-7_Panel-14,Critical,3,Remove Obstruction,Adjust Tilt,701,Sunny,2023-05-13 05:00:00,7,14,49.17,0.52,0.023,49.193000000000005
Open Circuit,String-9_Panel-14,High,14,Replace Wiring,Replace Wiring,558,Cloudy,2023-05-13 05:00:00,9,14,149.65,1.67,0.091,149.741
Open Circuit,String-1_Panel-12,High,8,Replace Wiring,Replace Wiring,927,Rainy,2023-05-13 05:00:00,1,12,154.45,2.08,0.13,154.57999999999998
Hotspot,String-7_Panel-16,Medium,8,Inspect Cells,Remove Obstruction,640,Rainy,2023-05-13 06:00:00,7,16,82.67,1.06,0.048,82.718
Hotspot,String-9_Panel-19,Critical,8,Replace Module,Replace Panel Section,913,Cloudy,2023-05-13 06:00:00,9,19,508.05,7.37,0.449,508.499
Short Circuit,String-9_Panel-5,Critical,2,Replace Module,Replace Module,368,Sunny,2023-05-13 07:00:00,9,5,564.95,5.17,0.301,565.2510000000001
Short Circuit,String-5_Panel-1,Low,8,Inspect Junction Box,Inspect Junction Box,759,Sunny,2023-05-13 09:00:00,5,1,73.97,0.94,0.044,74.014
Hotspot,String-6_Panel-13,High,2,Replace Panel Section,Tighten Connection,267,Sunny,2023-05-13 09:00:00,6,13,269.56,3.7,0.215,269.775
Shadowing,String-8_Panel-17,High,8,Adjust Tilt,Remove Obstruction,679,Cloudy,2023-05-13 09:00:00,8,17,109.65,2.02,0.096,109.74600000000001
Hotspot,String-3_Panel-10,High,12,Inspect Cells,Replace Module,874,Rainy,2023-05-13 11:00:00,3,10,83.41,0.86,0.047,83.457
Hotspot,String-6_Panel-18,Low,6,Clean Panel,Clean Panel,570,Cloudy,2023-05-13 11:00:00,6,18,28.8,0.26,0.016,28.816
Hotspot,String-1_Panel-2,High,8,Replace Panel Section,Replace Panel Section,799,Sunny,2023-05-13 12:00:00,1,2,296.09,3.37,0.148,296.238
Shadowing,String-9_Panel-11,Critical,14,Replace Module,Reinstall Module,778,Cloudy,2023-05-13 13:00:00,9,11,505.02,4.41,0.248,505.268
Open Circuit,String-8_Panel-13,High,14,Replace Wiring,Replace Wiring,257,Cloudy,2023-05-13 13:00:00,8,13,160.98,1.82,0.092,161.072
Open Circuit,String-10_Panel-11,Medium,13,Replace Connector,Replace Connector,727,Cloudy,2023-05-13 15:00:00,10,11,83.83,1.06,0.055,83.885
Hotspot,String-2_Panel-12,Medium,7,Inspect Cells,Reinstall Module,788,Sunny,2023-05-13 17:00:00,2,12,88.06,0.84,0.046,88.10600000000001
Open Circuit,String-2_Panel-1,Medium,3,Replace Connector,Replace Connector,792,Cloudy,2023-05-13 17:00:00,2,1,98.42,0.9,0.045,98.465
Short Circuit,String-8_Panel-18,Medium,3,Replace Fuse,Tighten Connection,325,Rainy,2023-05-13 17:00:00,8,18,57.93,0.51,0.033,57.963
Open Circuit,String-4_Panel-19,High,5,Replace Wiring,Reinstall Module,666,Sunny,2023-05-13 19:00:00,4,19,142.7,1.79,0.088,142.78799999999998
Hotspot,String-10_Panel-14,High,5,Replace Panel Section,Inspect Cells,217,Rainy,2023-05-13 19:00:00,10,14,322.39,4.22,0.244,322.634
Open Circuit,String-4_Panel-4,Critical,2,Replace Panel Section,Replace Module,498,Cloudy,2023-05-13 19:00:00,4,4,296.19,4.09,0.216,296.406
Short Circuit,String-1_Panel-11,Critical,1,Replace Module,Inspect Cells,477,Rainy,2023-05-13 20:00:00,1,11,564.86,5.92,0.316,565.176
Hotspot,String-6_Panel-1,Medium,8,Inspect Cells,Inspect Cells,355,Sunny,2023-05-13 20:00:00,6,1,88.14,0.99,0.047,88.187
Open Circuit,String-9_Panel-2,High,3,Replace Wiring,Replace Wiring,430,Cloudy,2023-05-13 22:00:00,9,2,137.26,2.25,0.122,137.382
Hotspot,String-2_Panel-6,Low,11,Inspect Cells,Replace Module,768,Cloudy,2023-05-13 23:00:00,2,6,73.57,1.04,0.055,73.625
Shadowing,String-8_Panel-3,Low,11,Remove Obstruction,Replace Connector,423,Rainy,2023-05-14 01:00:00,8,3,46.5,0.43,0.027,46.527
Shadowing,String-7_Panel-10,Medium,8,Remove Obstruction,Remove Obstruction,798,Cloudy,2023-05-14 01:00:00,7,10,42.14,0.45,0.022,42.162
Shadowing,String-5_Panel-1,Low,12,Remove Obstruction,Clean Panel,859,Cloudy,2023-05-14 02:00:00,5,1,56.31,0.53,0.025,56.335
Shadowing,String-2_Panel-17,Low,8,Remove Obstruction,Replace Connector,959,Rainy,2023-05-14 02:00:00,2,17,56.12,0.42,0.02,56.14
Hotspot,String-8_Panel-17,Medium,8,Inspect Cells,Clean Panel,673,Cloudy,2023-05-14 02:00:00,8,17,88.32,0.89,0.053,88.37299999999999
Short Circuit,String-9_Panel-8,Low,7,Inspect Junction Box,Inspect Junction Box,801,Cloudy,2023-05-14 02:00:00,9,8,67.12,1.08,0.067,67.187
Hotspot,String-3_Panel-11,Medium,13,Inspect Cells,Replace Fuse,407,Sunny,2023-05-14 05:00:00,3,11,87.28,0.95,0.045,87.325
Open Circuit,String-6_Panel-15,High,10,Inspect Junction Box,Inspect Cells,962,Rainy,2023-05-14 06:00:00,6,15,69.75,1.15,0.06,69.81
Shadowing,String-6_Panel-14,High,5,Adjust Tilt,Inspect Junction Box,705,Rainy,2023-05-14 06:00:00,6,14,118.78,2.19,0.116,118.896
Open Circuit,String-6_Panel-5,Medium,1,Replace Connector,Tighten Connection,729,Rainy,2023-05-14 07:00:00,6,5,93.4,0.72,0.031,93.43100000000001
Hotspot,String-2_Panel-3,Low,1,Clean Panel,Clean Panel,394,Sunny,2023-05-14 08:00:00,2,3,33.32,0.25,0.016,33.336
Open Circuit,String-4_Panel-6,Low,9,Tighten Connection,Tighten Connection,980,Rainy,2023-05-14 09:00:00,4,6,42.26,0.46,0.027,42.287
Short Circuit,String-6_Panel-15,Critical,10,Replace Module,Inspect Junction Box,726,Rainy,2023-05-14 09:00:00,6,15,496.33,7.5,0.332,496.662
Hotspot,String-2_Panel-14,Low,4,Inspect Cells,Adjust Tilt,939,Sunny,2023-05-14 10:00:00,2,14,79.6,0.88,0.043,79.643
Hotspot,String-9_Panel-17,Critical,13,Replace Module,Replace Module,901,Rainy,2023-05-14 11:00:00,9,17,509.89,5.55,0.293,510.183
Hotspot,String-6_Panel-13,Critical,10,Replace Module,Replace Module,473,Rainy,2023-05-14 11:00:00,6,13,544.11,5.34,0.247,544.357
Hotspot,String-2_Panel-18,Low,4,Clean Panel,Tighten Connection,289,Sunny,2023-05-14 12:00:00,2,18,32.78,0.3,0.02,32.800000000000004
Shadowing,String-5_Panel-5,Medium,2,Remove Obstruction,Inspect Junction Box,988,Cloudy,2023-05-14 12:00:00,5,5,42.87,0.43,0.027,42.897
Hotspot,String-5_Panel-19,High,5,Replace Module,Replace Panel Section,347,Cloudy,2023-05-14 12:00:00,5,19,434.88,5.21,0.291,435.171
Open Circuit,String-3_Panel-19,Medium,14,Replace Connector,Replace Fuse,501,Cloudy,2023-05-14 13:00:00,3,19,86.67,1.2,0.059,86.729
Short Circuit,String-6_Panel-8,Low,4,Inspect Junction Box,Replace Fuse,251,Rainy,2023-05-14 13:00:00,6,8,69.06,1.06,0.052,69.11200000000001
Shadowing,String-4_Panel-14,Medium,1,Remove Obstruction,Remove Obstruction,968,Cloudy,2023-05-14 16:00:00,4,14,51.6,0.52,0.031,51.631
Shadowing,String-6_Panel-4,Low,1,Remove Obstruction,Clean Panel,828,Rainy,2023-05-14 17:00:00,6,4,61.07,0.55,0.032,61.102
Hotspot,String-4_Panel-14,Low,1,Clean Panel,Clean Panel,398,Sunny,2023-05-14 19:00:00,4,14,30.89,0.27,0.016,30.906
Shadowing,String-7_Panel-14,Medium,11,Adjust Tilt,Inspect Cells,858,Cloudy,2023-05-14 20:00:00,7,14,106.8,1.73,0.085,106.88499999999999
Shadowing,String-1_Panel-18,High,5,Remove Obstruction,Adjust Tilt,371,Rainy,2023-05-14 21:00:00,1,18,53.99,0.53,0.028,54.018
Short Circuit,String-4_Panel-11,Low,14,Replace Fuse,Inspect Cells,255,Rainy,2023-05-14 23:00:00,4,11,61.79,0.51,0.033,61.823
Open Circuit,String-4_Panel-4,High,7,Replace Wiring,Replace Wiring,812,Rainy,2023-05-15 02:00:00,4,4,159.76,2.25,0.135,159.89499999999998
Hotspot,String-2_Panel-2,High,4,Inspect Cells,Remove Obstruction,633,Cloudy,2023-05-15 02:00:00,2,2,84.2,1.19,0.061,84.26100000000001
Shadowing,String-2_Panel-1,Critical,1,Reinstall Module,Replace Fuse,564,Cloudy,2023-05-15 03:00:00,2,1,201.21,3.17,0.183,201.393
Hotspot,String-4_Panel-18,High,12,Replace Module,Replace Fuse,745,Rainy,2023-05-15 05:00:00,4,18,485.87,6.27,0.264,486.134
Open Circuit,String-6_Panel-1,Low,12,Tighten Connection,Remove Obstruction,514,Cloudy,2023-05-15 05:00:00,6,1,45.9,0.55,0.035,45.934999999999995
Short Circuit,String-10_Panel-10,Medium,7,Replace Fuse,Replace Module,520,Cloudy,2023-05-15 06:00:00,10,10,63.5,0.52,0.029,63.529
Short Circuit,String-1_Panel-11,Critical,7,Replace Module,Replace Module,962,Rainy,2023-05-15 06:00:00,1,11,498.18,6.14,0.259,498.439
Open Circuit,String-4_Panel-18,High,14,Replace Wiring,Replace Panel Section,458,Cloudy,2023-05-15 09:00:00,4,18,150.7,1.79,0.108,150.808
Short Circuit,String-10_Panel-17,Critical,13,Replace Module,Replace Module,987,Sunny,2023-05-15 09:00:00,10,17,537.39,6.93,0.395,537.785
Hotspot,String-5_Panel-10,Critical,3,Replace Module,Replace Module,698,Rainy,2023-05-15 11:00:00,5,10,502.87,6.57,0.381,503.251
Short Circuit,String-10_Panel-20,Low,10,Inspect Junction Box,Inspect Junction Box,614,Sunny,2023-05-15 12:00:00,10,20,76.08,1.13,0.057,76.137
Open Circuit,String-5_Panel-19,Low,11,Tighten Connection,Tighten Connection,681,Rainy,2023-05-15 12:00:00,5,19,41.21,0.47,0.028,41.238
Open Circuit,String-7_Panel-19,High,1,Replace Wiring,Replace Wiring,510,Sunny,2023-05-15 13:00:00,7,19,154.56,1.87,0.111,154.671
Short Circuit,String-7_Panel-9,Medium,4,Replace Fuse,Replace Fuse,289,Sunny,2023-05-15 14:00:00,7,9,62.78,0.45,0.025,62.805
Hotspot,String-3_Panel-17,High,10,Replace Module,Replace Fuse,673,Sunny,2023-05-15 15:00:00,3,17,524.05,5.21,0.324,524.3739999999999
Open Circuit,String-4_Panel-6,Medium,5,Replace Wiring,Clean Panel,747,Sunny,2023-05-15 17:00:00,4,6,167.85,2.44,0.157,168.007
Open Circuit,String-7_Panel-10,High,4,Inspect Junction Box,Replace Wiring,554,Rainy,2023-05-15 17:00:00,7,10,77.39,1.15,0.068,77.458
Short Circuit,String-1_Panel-3,Low,10,Inspect Junction Box,Replace Module,734,Sunny,2023-05-15 17:00:00,1,3,71.84,1.06,0.046,71.88600000000001
Hotspot,String-5_Panel-11,Low,13,Inspect Cells,Clean Panel,833,Cloudy,2023-05-15 19:00:00,5,11,79.96,1.09,0.054,80.014
Hotspot,String-2_Panel-4,High,5,Replace Panel Section,Inspect Cells,313,Rainy,2023-05-15 19:00:00,2,4,314.72,3.85,0.226,314.946
Shadowing,String-7_Panel-15,Low,10,Clean Panel,Tighten Connection,482,Sunny,2023-05-15 20:00:00,7,15,28.44,0.25,0.012,28.452
Shadowing,String-9_Panel-2,High,14,Adjust Tilt,Inspect Junction Box,703,Rainy,2023-05-15 20:00:00,9,2,115.67,2.0,0.094,115.764
Open Circuit,String-7_Panel-3,Medium,9,Replace Module,Adjust Tilt,964,Cloudy,2023-05-15 21:00:00,7,3,573.11,6.61,0.32,573.4300000000001
Shadowing,String-3_Panel-13,Medium,7,Remove Obstruction,Replace Module,494,Sunny,2023-05-15 22:00:00,3,13,45.28,0.48,0.031,45.311
Open Circuit,String-8_Panel-1,Critical,10,Replace Module,Replace Module,415,Cloudy,2023-05-15 23:00:00,8,1,527.85,6.08,0.389,528.239
Short Circuit,String-8_Panel-10,Medium,7,Replace Fuse,Replace Fuse,857,Cloudy,2023-05-15 23:00:00,8,10,63.64,0.5,0.027,63.667
Short Circuit,String-8_Panel-14,Critical,11,Replace Module,Replace Module,672,Rainy,2023-05-15 23:00:00,8,14,478.94,7.84,0.474,479.414
Short Circuit,String-7_Panel-7,Critical,3,Replace Module,Replace Fuse,408,Rainy,2023-05-16 00:00:00,7,7,528.47,6.41,0.278,528.748
Short Circuit,String-6_Panel-13,Medium,9,Replace Fuse,Replace Fuse,325,Rainy,2023-05-16 02:00:00,6,13,60.04,0.5,0.025,60.065
Hotspot,String-1_Panel-13,Low,4,Clean Panel,Inspect Junction Box,469,Cloudy,2023-05-16 02:00:00,1,13,31.05,0.24,0.012,31.062
Hotspot,String-9_Panel-15,Critical,5,Replace Module,Inspect Junction Box,741,Cloudy,2023-05-16 03:00:00,9,15,552.99,6.46,0.367,553.357
Hotspot,String-6_Panel-11,High,2,Replace Panel Section,Replace Panel Section,902,Sunny,2023-05-16 04:00:00,6,11,299.71,4.67,0.307,300.017
Shadowing,String-8_Panel-1,Critical,8,Reinstall Module,Reinstall Module,542,Rainy,2023-05-16 05:00:00,8,1,211.92,3.37,0.171,212.09099999999998
Shadowing,String-3_Panel-10,Medium,10,Remove Obstruction,Replace Module,663,Cloudy,2023-05-16 06:00:00,3,10,54.15,0.53,0.032,54.181999999999995
Short Circuit,String-7_Panel-17,Critical,4,Replace Module,Replace Panel Section,334,Rainy,2023-05-16 06:00:00,7,17,561.4,5.21,0.224,561.624
Open Circuit,String-7_Panel-14,Medium,13,Replace Connector,Adjust Tilt,331,Sunny,2023-05-16 06:00:00,7,14,80.83,1.12,0.047,80.877
Shadowing,String-10_Panel-20,High,4,Adjust Tilt,Adjust Tilt,969,Sunny,2023-05-16 06:00:00,10,20,120.97,2.0,0.122,121.092
Short Circuit,String-4_Panel-12,High,12,Reinstall Module,Clean Panel,336,Sunny,2023-05-16 06:00:00,4,12,189.27,2.78,0.158,189.428
Short Circuit,String-4_Panel-16,Critical,3,Replace Module,Replace Wiring,635,Rainy,2023-05-16 08:00:00,4,16,499.02,5.22,0.294,499.31399999999996
Shadowing,String-7_Panel-7,Critical,4,Reinstall Module,Reinstall Module,377,Cloudy,2023-05-16 09:00:00,7,7,210.58,2.53,0.131,210.711
Shadowing,String-6_Panel-3,Medium,12,Remove Obstruction,Remove Obstruction,575,Rainy,2023-05-16 12:00:00,6,3,57.42,0.44,0.027,57.447
Short Circuit,String-3_Panel-2,Low,9,Inspect Junction Box,Inspect Junction Box,454,Sunny,2023-05-16 12:00:00,3,2,70.59,1.13,0.052,70.64200000000001
Open Circuit,String-3_Panel-16,Medium,11,Replace Connector,Replace Connector,615,Sunny,2023-05-16 14:00:00,3,16,86.89,1.01,0.049,86.93900000000001
Shadowing,String-3_Panel-19,Critical,7,Reinstall Module,Reinstall Module,937,Rainy,2023-05-16 16:00:00,3,19,198.53,2.53,0.112,198.642
Hotspot,String-7_Panel-6,Low,5,Inspect Cells,Tighten Connection,887,Rainy,2023-05-16 17:00:00,7,6,92.25,0.87,0.043,92.293
Shadowing,String-3_Panel-11,High,2,Adjust Tilt,Adjust Tilt,967,Sunny,2023-05-16 17:00:00,3,11,117.84,1.72,0.098,117.938
Hotspot,String-3_Panel-1,Low,8,Inspect Cells,Clean Panel,825,Rainy,2023-05-16 19:00:00,3,1,80.44,0.96,0.054,80.494
Hotspot,String-9_Panel-7,Critical,2,Replace Module,Replace Module,422,Sunny,2023-05-16 19:00:00,9,7,527.36,6.84,0.438,527.798
Shadowing,String-9_Panel-12,Low,6,Remove Obstruction,Replace Wiring,426,Rainy,2023-05-16 20:00:00,9,12,49.49,0.39,0.024,49.514
Hotspot,String-10_Panel-20,High,9,Replace Module,Replace Panel Section,482,Rainy,2023-05-16 21:00:00,10,20,526.09,6.31,0.414,526.504
Hotspot,String-5_Panel-6,High,5,Replace Panel Section,Reinstall Module,603,Cloudy,2023-05-16 22:00:00,5,6,298.88,2.62,0.154,299.034
Short Circuit,String-10_Panel-5,High,14,Reinstall Module,Replace Wiring,766,Sunny,2023-05-16 22:00:00,10,5,207.78,3.01,0.14,207.92
Shadowing,String-2_Panel-12,Medium,11,Remove Obstruction,Remove Obstruction,869,Cloudy,2023-05-16 22:00:00,2,12,44.32,0.48,0.029,44.349000000000004
Open Circuit,String-5_Panel-16,High,1,Replace Wiring,Replace Fuse,885,Sunny,2023-05-16 22:00:00,5,16,156.25,1.9,0.116,156.366
Shadowing,String-10_Panel-2,High,5,Remove Obstruction,Adjust Tilt,302,Cloudy,2023-05-16 23:00:00,10,2,46.97,0.52,0.03,47.0
Open Circuit,String-1_Panel-10,Low,14,Tighten Connection,Reinstall Module,586,Cloudy,2023-05-16 23:00:00,1,10,40.65,0.51,0.032,40.681999999999995
